model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-mlm-bpe-unmask-seed_999,n,adv,1,0.001,63,0.7391304347826086,0.6813186813186813
smolm-mlm-bpe-unmask-seed_888,adj,adv,5,0.01,9,0.6739130434782609,0.5384615384615384
smolm-mlm-bpe-unmask-seed_888,n,adv,3,0.01,15,0.7065217391304348,0.6813186813186813
smolm-mlm-bpe-unmask-seed_888,adj,adv,2,0.01,17,0.6413043478260869,0.5054945054945055
smolm-mlm-bpe-unmask-seed_888,adj,adv,4,0.01,12,0.6413043478260869,0.5494505494505495
smolm-mlm-bpe-unmask-seed_888,adj,v,5,0.01,13,0.85,0.9
smolm-mlm-bpe-unmask-seed_888,n,v,1,0.01,11,0.8,0.8
smolm-mlm-bpe-unmask-seed_888,adj,adv,3,0.01,13,0.6630434782608695,0.5384615384615384
smolm-mlm-bpe-unmask-seed_888,adv,v,2,0.01,14,0.8043478260869565,0.7472527472527473
smolm-mlm-bpe-unmask-seed_888,n,adj,4,0.01,60,0.7,0.6
smolm-mlm-bpe-unmask-seed_888,adv,v,3,0.001,65,0.7391304347826086,0.6483516483516484
smolm-mlm-bpe-unmask-seed_888,n,v,3,0.01,16,0.82,0.82
smolm-mlm-bpe-unmask-seed_888,n,adj,5,0.01,68,0.73,0.58
smolm-mlm-bpe-unmask-seed_888,n,adv,4,0.01,61,0.6739130434782609,0.6703296703296703
smolm-mlm-bpe-unmask-seed_888,adv,v,1,0.01,19,0.782608695652174,0.7582417582417582
smolm-mlm-bpe-unmask-seed_888,adj,v,1,0.01,12,0.82,0.8
smolm-mlm-bpe-unmask-seed_888,n,v,2,0.01,10,0.79,0.82
smolm-mlm-bpe-unmask-seed_888,n,v,5,0.01,18,0.8,0.81
smolm-mlm-bpe-unmask-seed_888,n,adj,3,0.01,50,0.69,0.57
smolm-mlm-bpe-unmask-seed_888,adj,v,4,0.01,6,0.84,0.84
smolm-mlm-bpe-unmask-seed_888,adv,v,4,0.01,7,0.8478260869565217,0.7472527472527473
smolm-mlm-bpe-unmask-seed_888,n,adj,1,0.001,33,0.64,0.68
smolm-mlm-bpe-unmask-seed_888,n,adj,2,0.01,62,0.61,0.53
smolm-mlm-bpe-unmask-seed_888,n,v,4,0.01,41,0.75,0.78
smolm-mlm-bpe-unmask-seed_888,adj,adv,1,0.01,10,0.6413043478260869,0.5054945054945055
smolm-mlm-bpe-unmask-seed_888,adv,v,5,0.01,14,0.75,0.7362637362637363
smolm-mlm-bpe-unmask-seed_888,n,adv,2,0.01,17,0.6956521739130435,0.7802197802197802
smolm-mlm-bpe-unmask-seed_888,n,adv,5,0.01,16,0.7065217391304348,0.6483516483516484
smolm-mlm-bpe-unmask-seed_888,adj,v,2,0.01,11,0.84,0.88
smolm-mlm-bpe-unmask-seed_888,adj,v,3,0.01,17,0.86,0.87
smolm-mlm-bpe-unmask-seed_888,n,adv,1,0.01,12,0.6847826086956522,0.6373626373626373
smolm-mlm-bpe-unmask-seed_333,adj,adv,5,0.01,1,0.5760869565217391,0.5164835164835165
smolm-mlm-bpe-unmask-seed_333,n,adv,3,0.001,15,0.5869565217391305,0.5714285714285714
smolm-mlm-bpe-unmask-seed_333,adj,adv,2,0.01,1,0.5760869565217391,0.5494505494505495
smolm-mlm-bpe-unmask-seed_333,adj,adv,4,0.01,23,0.5652173913043478,0.5604395604395604
smolm-mlm-bpe-unmask-seed_333,adj,v,5,0.01,12,0.69,0.74
smolm-mlm-bpe-unmask-seed_333,n,v,1,0.01,0,0.7,0.69
smolm-mlm-bpe-unmask-seed_333,adj,adv,3,0.001,19,0.5652173913043478,0.5384615384615384
smolm-mlm-bpe-unmask-seed_333,adv,v,2,0.01,19,0.8260869565217391,0.7582417582417582
smolm-mlm-bpe-unmask-seed_333,n,adj,4,0.01,1,0.67,0.77
smolm-mlm-bpe-unmask-seed_333,adv,v,3,0.01,20,0.782608695652174,0.7472527472527473
smolm-mlm-bpe-unmask-seed_333,n,v,3,0.01,58,0.75,0.7
smolm-mlm-bpe-unmask-seed_333,n,adj,5,0.001,36,0.59,0.59
smolm-mlm-bpe-unmask-seed_333,n,adv,4,0.01,0,0.5978260869565217,0.5714285714285714
smolm-mlm-bpe-unmask-seed_333,adv,v,1,0.01,6,0.7282608695652174,0.7142857142857143
smolm-mlm-bpe-unmask-seed_333,adj,v,1,0.001,69,0.7,0.69
smolm-mlm-bpe-unmask-seed_333,n,v,2,0.01,65,0.74,0.72
smolm-mlm-bpe-unmask-seed_333,n,v,5,0.01,43,0.69,0.73
smolm-mlm-bpe-unmask-seed_333,n,adj,3,0.01,25,0.61,0.56
smolm-mlm-bpe-unmask-seed_333,adj,v,4,0.01,39,0.74,0.74
smolm-mlm-bpe-unmask-seed_333,adv,v,4,0.01,14,0.7065217391304348,0.6813186813186813
smolm-mlm-bpe-unmask-seed_333,n,adj,1,0.01,2,0.62,0.61
smolm-mlm-bpe-unmask-seed_333,n,adj,2,0.001,4,0.65,0.64
smolm-mlm-bpe-unmask-seed_333,n,v,4,0.001,1,0.7,0.72
smolm-mlm-bpe-unmask-seed_333,adj,adv,1,0.01,24,0.5652173913043478,0.5714285714285714
